N,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,location:,Байршил 2,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
11,Яармагт 1 өрөө байр,"120 сая ₮
үнэ тохирно",3/13/2024,18:30,8119764,,1 өрөө,"УБ — Хан-Уул, Яармаг","
Яармагт Сити палас хотхонд шинэ 1 өрөө байр зарна 11 давхарт зохион байгуулалт сайтай шинэ 1 өрөө байр зарна гал тогоо тусдаа",https://www.unegui.mn/adv/8119764_iaarmagt-shineer-ashiglaltand-orson-zokhion-baiguulalt-saitai-1-oroo-bair-zarna/,Плита,1 тагттай,2023,Байхгүй,Төмөр вакум,16,Бүргэд,35.2 м²,11,Банкны лизингтэй,2,Ашиглалтад орсон,4,41,,,Яармаг,,,,,,Хан-Уул,Яармаг,,120,35.2,3.409090909
12,Global town 4 uruu bair 147mkv,"5.5 сая ₮
үнэ тохирно",3/13/2024,18:32,8085697,,4 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15",,https://www.unegui.mn/adv/8085697_global-town-4-uruu-gants-bgaa-bair-zarna/,Ламинат,1 тагттай,2023,Байхгүй,Төмөр вакум,22,Бүргэд,147.24 м²,7,Банкны лизингтэй,6,Ашиглалтад ороогүй,4,40,,,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,5.5,147.24,0.03735398
13,"Буянт-ухаа, эвэл апартмент-д 3 өрөө 60.62м2 байр","2.8 сая ₮
үнэ тохирно",3/13/2024,18:44,8119809,,3 өрөө,"УБ — Хан-Уул, Нисэх","
📍Байршил : ХУД, 21 хороо, Буянт-Ухаа спорт цогцолборын баруун урд, Эвэл Апартмент
60.62 м2 3 өрөө байр 16/9 давхарт, нүүж ороход бэлэн.

☑️ Өрөөний зохион байгуулалт маш сайн
☑️ Байгалийн гэрэл сайтай буюу 2 цонх зүүн тийшээ, 2 цонх урагшаа харсан байрлалтай
☑️ Бэлэн төлөлт (Борлуулалтын үнээс хямд)
☑️Бартерт Ланд200, Прадо сонирхоно. Энэ тохиолдолд бартерийн үнэ 3,300,000.",https://www.unegui.mn/adv/8119809_buiant-ukhaa-evel-apartment-d-3-oroo-bair-zarna/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,60.62 м²,9,Лизинггүй,4,Ашиглалтад орсон,4,39,,,Нисэх,,,,,,Хан-Уул,Нисэх,,2.8,60.62,0.046189376
14,Хүннү 3 ээлжинд 95.71 м.кв 4 өрөө байр,"532 сая ₮
үнэ тохирно",3/13/2024,18:56,7746321,,4 өрөө,"УБ — Хан-Уул, Хүннү","
Шинэ, гэрчилгээ гарсан банкны зээлд хамрагдаж болно",https://www.unegui.mn/adv/7746321_khunnu-3-eelzhind-95-86-kv-4-oroo-15-davkhryn-bair-khudaldana/,Паркет,2 тагттай,2023,Байгаа,Төмөр вакум,25,Төмөр,96.0 м²,2,Банкны лизингтэй,5,Ашиглалтад орсон,4,38,,,Хүннү,,,,,,Хан-Уул,Хүннү,,532,96,5.541666667
15,Хүннү 2222 1-р ээлж 4өрөө,480 сая ₮,3/13/2024,20:25,8120075,,4 өрөө,"УБ — Хан-Уул, Хурд","
✨Хүннү 2222~т 4 өрөө байр худалдана ✨


95,71 м.кв | 11 давхарт | Урагшаа болон зүүн харсан цонхнуудтай | Мастер унталгын өрөөтэй | Гэрчилгээ бэлэн тул зээлээр авах боломжтой.

📍ХУД, 15р хороо #Хүннү2222",https://www.unegui.mn/adv/8120075_khunnu-2222-1-r-eelzh-4oroo-khudaldana/,Паркет,1 тагттай,2018,Байхгүй,Вакум,23,Бүргэд,95.71 м²,11,Лизинггүй,5,Ашиглалтад орсон,4,37,,,Цэнгэлдэх,,,,,,Хан-Уул,Хурд,,480,95.71,5.015149932
16,"Бзд, nisora tower-т 105 м2 4 өрөө байр",369 сая ₮,3/13/2024,20:35,8093112,,4 өрөө,"УБ — Баянзүрх, 13-р хороолол","
БЗД, Nisora Tower-т 4 өрөө байр худалдана.

✅Office-n зориулалтаар ашиглах боломжтой
✅мастертай
✅6 хувьд оруулж өгөх боломжтой
✅17/16 давхарт
✅цонх урагшаа болон баруун харсан
✅105м2",https://www.unegui.mn/adv/8093112_bzd-nisora-tower-t-105-m2-4-oroo-bair-khudaldana-6-khuv-shiidezh-ogno/,Паркет,1 тагттай,2012,Байхгүй,Вакум,17,Төмөр,105.0 м²,16,Лизинггүй,6,Ашиглалтад орсон,4,36,,,13-р хороолол,,,,,,Баянзүрх,13-р хороолол,,369,105,3.514285714
17,Зайсан roma town хотхонд 6 давхрын 163.81м2 5 өрөө,3.5 сая ₮,3/13/2024,20:39,7132076,,5+ өрөө,"УБ — Хан-Уул, Зайсан","
Зайсан Америк сургуулийн яг хажууд Roma Town хотхоны 6 давхарт 163.71 м2 5 өрөө хүн амьдраагүй цоо шинэ байр худалдана.
Компанийн 1 жилийн лизингд хамрагдаж болно. Бартер сонсоно.",https://www.unegui.mn/adv/7132076_zaisan-roma-town-khotkhond-4-davkhryn-99-98m2-3-oroo-bair/,Паркет,1 тагттай,2021,Байгаа,Вакум,12,Төмөр,163.71 м²,6,Хувь лизингтэй,6,Ашиглалтад орсон,4,35,,,Зайсан,,,,,,Хан-Уул,Зайсан,,3.5,163.71,0.021379268
18,Park house 3 uruu bair,"196 сая ₮
үнэ тохирно",3/13/2024,23:52,8120573,,3 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 2","
ХУД 2-р хороо
* Органик захын урд талд “Парк хаус” хотхон 102 байр 5 давхарт 3 өрөө байр худалдана
* Тоглоомын талбай буюу зүүн харсан 4 цонх, ургаш харсан 1 цонхтой
* Угаалгын өрөө, 00 өрөө тусдаа
* Өрөөний зөв зохион байгуулалттай
* Орчны дуу чимээгүй
* Дасгал хөдөлгөөн, эрүүл амьдралын идэвхитэй орчинд байрлалтай
* Урд талдаа дугуйн зам, явган хүний зам, Туул гол, бургастай тул агаар цэвэрхэн, өвөл утаагүй байдаг, зун маш гоё ногоон орчинтой, Misheel Street болон Misheel цэцэрлэгт хүрээлэнлүү алхаад ороход ойр.
* 115, 18,75, Этүгэн дунд сургуудиудтай ойр,
* Баруун талдаа 50м Улсын цэцэрлэгтэй
* Гэрчилгээ бэлэн
* МКВ-2.55сая
* Дулаан зогсоол тусдаа: 25 сая

Жич; гал тогооны тавилга, хувцасны шкап үлдэнэ.",https://www.unegui.mn/adv/8120573_park-house-3-uruu-bair-zarna/,Паркет,1 тагттай,2011,Байгаа,Вакум,10,Бүргэд,76.8 м²,5,Лизинггүй,5,Ашиглалтад орсон,4,34,,,19-р хороолол,,,,,,Хан-Уул,Хороо 2,2,196,76.8,2.552083333
19,"Андууд, төмөр зам, бгд-ийн 1-р хороонд 3 өрөө","310 сая ₮
үнэ тохирно",3/14/2024,6:58,8101632,,3 өрөө,"УБ — Баянгол, Богд-Ар",,https://www.unegui.mn/adv/8101632_bgd-1-khoroo-anduud-tomor-zamd-3-oroo-zarna/,Паркет,1 тагттай,2012,Байхгүй,Вакум,10,Бүргэд,68.0 м²,8,Лизинггүй,3,Ашиглалтад орсон,4,33,,,Төмөр зам,,,,,,Баянгол,Богд-Ар,,310,68,4.558823529
20,Encanto tower-т 192 мквтай 5 өрөө байр,1.7 Тэрбум ₮,3/14/2024,7:25,8050245,,5+ өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
💎ENCANTO TOWER-т 192 мквтай 5 өрөө байр худалдана.

🔸13/18 давхарт
🔹192мкв 5н өрөө
🔸2 Хувцасны өрөөтэй
🔹Баруун харсан 2 цонхтой
🔸Урагшаа харсан 4н цонхтой
🔹Зүүн харсан 1 цонхтой
🔸Таазны өндөр 3.2 метр
🔹Давхартаа 3н айлтай
🔸Нийт 36н айлын барилга
🔹2 гражтай(тусдаа үнэтэй)

💸ҮНЭ: 1,7 тэрбум

📍БЗД 26-р хороо ENCANTO TOWER",https://www.unegui.mn/adv/8050245_encanto-tower-t-192-mkvtai-5-oroo-bair-khudaldana/,Паркет,1 тагттай,2020,Байгаа,Вакум,18,Бүргэд,192.0 м²,13,Банкны лизингтэй,7,Ашиглалтад орсон,4,32,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,1700,192,8.854166667
21,220к резидэнсд 5 өрөө байр 161.5m2,1.8 Тэрбум ₮,3/14/2024,9:01,7905174,,5+ өрөө,"УБ — Сүхбаатар, 220 мянгат","
🔴220K Residence д 161мкв мастертай 5 өрөө байрыг #ХУДАЛДАНА
Урагшаа 1, баруун 4 цонхтой
3 ариун цэврийн, 1 угаалгын өрөөтэй
2 хувцасны өрөөтэй
Шалнаас тааз хүртэл цэлгэр том цонхнуудтай
🔴Дулаан зогсоолтой
Суурилуулсан зарим тавилга үлдэнэ
24 цагийн харуул хамгаалалттай
Фитнес, бассейн, спа, коффе шоп зэрэг үйлчилгээтэй",https://www.unegui.mn/adv/7905174_220k-rezidensd-5-oroo-bair-khudaldana/,Паркет,1 тагттай,2016,Байгаа,Вакум,16,Төмөр,161.5 м²,4,Лизинггүй,6,Ашиглалтад орсон,4,31,,,220 мянгат,,,,,,Сүхбаатар,220 мянгат,,1800,161.5,11.14551084
22,Вива сити хороололд 2 өрөө 41.6 м.кв байр,"120 сая ₮
үнэ тохирно",3/14/2024,10:05,8097210,,2 өрөө,"УБ — Хан-Уул, Яармаг","
Сайн байна уу?

Вива сити хороололд S9 байранд 2 өрөө 41.6 м.кв орон сууцыг зарна.

- Гэрчилгээ бэлэн
- Гал тогооны тавилга
- Угаалгын машин
- Хөргөгч
- Үүдний хувцасны өлгүүр дагалдана.",https://www.unegui.mn/adv/8097210_viva-siti-khoroolold-2-oroo-41-6-m-kv-bair-zarna/,Паркет,Тагтгүй,2012,Байхгүй,Вакум,5,Төмөр,41.6 м²,3,Лизинггүй,3,Ашиглалтад орсон,4,30,,,Яармаг,,,,,,Хан-Уул,Яармаг,,120,41.6,2.884615385
23,1 uruu gal togoo tusdaa,"120 сая ₮
үнэ тохирно",3/14/2024,12:38,8121731,,1 өрөө,"УБ — Хан-Уул, Яармаг","
Яармагт #Citypalace хотхонд
35.20м2 #1өрөө
11давхарт маш гоё харууцтай туул гол руугаа харсан
С блокд
Улсын сургууль цэцэрлэг автобусны буудал бүх үйлчилгээндээ ойр давуу тал ихтэй гоё байраа худалдана",https://www.unegui.mn/adv/8121731_shine-1-uruu-gal-togoo-tusdaa/,Ламинат,1 тагттай,2024,Байхгүй,Төмөр вакум,16,Бүргэд,35.2 м²,11,Лизинггүй,2,Ашиглалтад орсон,4,29,,,Яармаг,,,,,,Хан-Уул,Яармаг,,120,35.2,3.409090909
24,Натур-т duplex 5 өрөө байр 98мкв,"343.7 сая ₮
үнэ тохирно",3/14/2024,14:56,8023024,,5+ өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 25","
БЗД, 25-р хороо, Натур “Skyhouse”апартмент-д 5өрөө орон сууц худалдана.
💎 98.2 м.кв | Дублекс 5 өрөө орон сууц
💎 4 тагттай | 2 ариун цэврийн өрөөтэй
💎 Дагалдах тавилга: гал тогооны тавилга комоороо хиншүү сорогчтойгоо | унтлагын өрөөний болон үүдний хувцасны шкафууд | гэрлийн бүрхүүлүүд үлдэнэ.
💎 Жич: бусад тавилга үнэ тохирч болно.
📍 Байршил: Натур худалдааны төвийн зүүн урд",https://www.unegui.mn/adv/8023024_natur-t-duplex-zagvaryn-5-oroo-bair/,Паркет,3+ тагттай,2014,Байхгүй,Вакум,16,Төмөр,98.2 м²,2,Лизинггүй,6,Ашиглалтад орсон,4,28,,,Натур,,,,,,Баянзүрх,Хороо 25,25,343.7,98.2,3.5
25,Хотын ааа+++ бүс 2 өрөө,3.7 сая ₮,3/14/2024,15:46,8122599,,2 өрөө,"УБ — Баянзүрх, 13-р хороолол","
Хотын ААА+++ бүс БЗД, 3р хороо, 13хороололд Төв зам дагуу 69.5мкв, Улсын 2-р эмнэлгийн баруун урд талд.
2 өрөөг 3 өрөө болгож зассан байр худалдана.

| үнэ1мкв:3.700.000|нийт:257.150.000

▪️Дээгүүр давхарт (Харууц хаасан барилга байхгүй)

▪️Хувцасны өрөөтэй

▪️Хойшоо харсан (маш гэгээтэй)

▪️Бүрэн засвар хийгдсэн (цонх, хаалга шал, 00-ийн өрөө)

▪️дулаан зогсоол тусдаа:35сая

хотхондоо 28 айлтай, доороо дулаан зогсоолтой, дулаахан",https://www.unegui.mn/adv/8122599_khotyn-aaa-bus-2-oroo/,Паркет,Тагтгүй,2008,Байгаа,Вакум,12,Төмөр,69.0 м²,9,Лизинггүй,5,Ашиглалтад орсон,4,27,,,13-р хороолол,,,,,,Баянзүрх,13-р хороолол,,3.7,69,0.053623188
26,Американ дэнж хотхонд 5 өрөө байр 164.74м2,"510.69 сая ₮
үнэ тохирно",3/14/2024,16:31,8087663,,5+ өрөө,УБ — Баянзүрх,"
Американ дэнж хотхонд 5 өрөө орон сууц худалдана.
- 162,74мкв
- 2010 он
- 4/10 давхарт
- Баруун 2, зүүн 3, урагшаа харсан 1 цонхтой
- Мастер унтлагын өрөө, 2 тагттай
Бартерт 2 өрөө байр оролцуулна.
Бэлэн төлөлтөд үнэ ярилцана.
Гараж байгаа, тусдаа үнэтэй",https://www.unegui.mn/adv/8087663_amerikan-denzh-khotkhond-5-oroo-khudaldana/,Паркет,2 тагттай,2010,Байгаа,Вакум,10,Бүргэд,164.74 м²,4,Лизинггүй,6,Ашиглалтад орсон,4,26,,,,,,,,,Баянзүрх,,,510.69,164.74,3.099975719
27,"Бзд, 26 хороо, santo smart apartment 4 өрөө орон сууц 123.5m2","518.7 сая ₮
үнэ тохирно",3/14/2024,17:31,8085092,,4 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
- Хотхондоо бүх хэрэгцээгээ шийдсэн маш тав тухтай хотхон шүү
-123.5 мкв
-Үнэ 1 мкв 4.200.000₮
-Нийт үнэ 518.700.000₮

-16/14 давхарт
-Зүүн 3,Хойшоо 2 цонхтой
-Бүх тавилга дагалдана
-2 ариун цэврийн өрөөтэй
-2 тагттай
-угаалгын өрөөтэй
-Бартерт том машин оролцуулна

Банкны зээл шийдэж өгнө",https://www.unegui.mn/adv/8085092_bzd-26-khoroo-santo-smart-apartment-4-oroo-oron-suuts-khudaldana/,Паркет,2 тагттай,2021,Байхгүй,Вакум,16,Бүргэд,123.5 м²,14,Банкны лизингтэй,5,Ашиглалтад орсон,4,25,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,518.7,123.5,4.2
28,Нисэх эцэст 1 өрөө 38.31м2,"2.35 сая ₮
2.55 сая ₮",3/14/2024,17:50,8123129,,1 өрөө,"УБ — Хан-Уул, Нисэх","
Хан уул дүүрэг, Нисэхийн эцэст Буянт ухаа захын зүүн талд шинээо Ашиглалтанд орсон, бүрэн угсармал өндөр таазтай маш дулаахан 2 өрөө болгох боломжтой байр худалдана /цэвэр агаартай/ Баруун Болон Хойшоо харсан Цонхтой",https://www.unegui.mn/adv/8123129_nisekh-etsest/,Паркет,1 тагттай,2024,Байхгүй,Вакум,10,Төмөр,38.31 м²,6,Лизинггүй,2,Ашиглалтад орсон,4,24,,,Нисэх,,,,,,Хан-Уул,Нисэх,,2.35,38.31,0.061341686
29,Бздцайз захын баруун талд 1 өрөө байр 35м2,"97 сая ₮
үнэ тохирно",3/15/2024,5:14,8124123,,1 өрөө,"УБ — Баянзүрх, 16-р хороолол",,https://www.unegui.mn/adv/8124123_bzdtsaiz-zakhyn-baruun-tald-shine-1-oroo-bair-zarna/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,35.0 м²,14,Лизинггүй,1,Ашиглалтад орсон,4,23,,,Цайз,,,,,,Баянзүрх,16-р хороолол,,97,35,2.771428571
30,2 өрөө байр 52.0 мкв,"130 сая ₮
үнэ тохирно",3/15/2024,9:02,8084445,,2 өрөө,"УБ — Сонгинохайрхан, 21-р хороолол","
СХД 37хороо , 21 хороолол , Содонгийн яг урд байрлалтай Очир 2 хотхонд 52мкв 2өрөө байр зарна.

💫‌СХД -700м
💫‌37 хороо- байрныхаа доор
💫‌НД, Татвар, Цахилгаан түгээх- 500м
💫‌Төрийн нэгдсэн үйлчилгээ- Драгон төвд
💫‌Сургууль -500м
💫‌Цэцэрлэг- 500м
💫‌Өрхийн эмнэлэг- Содон хороололд
💫‌21 нэгдсэн эмнэлэг-500м
💫‌Оргил, Carrefour, Номин, Ммарт, 21 худалдааны төв, Драгон худалдааны төв гэх мэт худалдаа үйлчилгээний газрууд -500м дотор
💫‌Автобусны буудалдаа ойрхон

Байрны мэдээлэл:
💫‌52мкв /зүүн харсан 3, урагш харсан 1 цонхтой/
💫Мкв нь 2.500.000₮. Нийт 130 сая
💫‌15/7 давхарт. Өвөлдөө маш дулаан.
💫‌Хэрэглээний зардал хамгийн бага гардаг.
💫‌2016 онд ашиглалтад орсон. 2017 оноос нэг л айл амьдарч байсан.
💫Ирж үзээд ярилцаад аваарай😇",https://www.unegui.mn/adv/8084445_2-oroo-bair/,Паркет,1 тагттай,2016,Байхгүй,Вакум,15,Бүргэд,52.0 м²,7,Банкны лизингтэй,4,Ашиглалтад орсон,4,22,,,21-р хороолол,,,,,,Сонгинохайрхан,21-р хороолол,,130,52,2.5
31,3-р эмнэлэгийн автобусны буудлын хажууд 1 өрөө байр,85 сая ₮,3/15/2024,9:51,8114265,,1 өрөө,"УБ — Баянгол, 10-р хороолол","
3-р эмнэлэгийн автобусны буудалтайгаа ойр,",https://www.unegui.mn/adv/8114265_3-r-emnelegiin-avtobusny-buudlyn-khazhuud-1-oroo-bair/,Паркет,1 тагттай,2013,Байхгүй,Вакум,6,Бүргэд,30.0 м²,4,Лизинггүй,2,Ашиглалтад орсон,4,21,,,10-р хороолол,,,,,,Баянгол,10-р хороолол,,85,30,2.833333333
32,Four season 3 өрөө 65.87м2,"3.85 сая ₮
үнэ тохирно",3/15/2024,10:14,8055497,,3 өрөө,"УБ — Баянгол, Нарны хороолол","
Нарны гүүрийн баруун талд байрлалтай шинээр ашиглалтанд орсон 65,87мкв 3 өрөө яаралтай зарна
Борлуултан дээр дууссан байр шүү",https://www.unegui.mn/adv/8055497_four-season-village/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,65.87 м²,15,Лизинггүй,3,Ашиглалтад орсон,4,20,,,Нарны хороолол,,,,,,Баянгол,Нарны хороолол,,3.85,65.87,0.058448459
