N,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
11,1 эмнэлэгийн урд 4 өрөө,620 сая ₮,3/16/2024,23:19,8096310,,4 өрөө,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1","
📍 Хотын төвд 1 эмнэлэгийн урд 4 өрөө байр худалдана.

•4 өрөө
•148.6м2
•7/7 давхарт
•мастер унталгын өрөөтэй
•2 а/ц өрөөтэй
•урагшаа 2, баруун 3, хойшоо 1 харсан цонхнуудтай
•гадаа машины зогсоол томтой
•Л asИФФТЭЙ | 6 давхар хүртэл

🎁 Байр авсан айлдаа дулаан зогоолоо үнэгүй өгнө
ҮНЭ: 620 сая | м2: 4,170,000",https://www.unegui.mn/adv/8096310_1-emnelegiin-urd/,Паркет,1 тагттай,2007,Байгаа,Вакум,7,Бүргэд,148.6 м²,7,Лизинггүй,6,Ашиглалтад орсон,4,11,Талбай,,,,,,Сүхбаатар,Хороо 1,1,620,148.6,4.172274563
12,X apartment 2 3 өрөө 75м2 байр,"262.15 сая ₮
үнэ тохирно",3/16/2024,23:18,8113340,,3 өрөө,"УБ — Баянзүрх, Офицер","
📍X Apartment 2 хотхонд 3 өрөө байр худалдана
75мкв | 10+ давхарт |

▫️мастер унтлага
▫️хүүхдийн унтлага
▫️зочны өрөө гал тогоо
▫️баруун хойш ташуу харсан 3 цонхтой
▫️2020 оны байр

💵 Үнэ: 262.150.000 (мкв 3.500.000)
Төлбөрийн нөхцөл: бэлэн болон банk",https://www.unegui.mn/adv/8113340_x-apartment-2/,Паркет,Тагтгүй,2020,Байхгүй,Вакум,16,Бүргэд,75.0 м²,10,Лизинггүй,3,Ашиглалтад орсон,4,12,Офицер,,,,,,Баянзүрх,Офицер,,262.15,75,3.495333333
13,Маршал таунд 3 өрөө,390 сая ₮,3/16/2024,23:13,8021227,,3 өрөө,"УБ — Хан-Уул, Marshall town","
Маршал таун хотхонд 3 өрөө орон сууц ХУДАЛДАНА.

УБ хотын төв цэгээс 3км зайд орших, ХУД-ийн 17-р хороо, Үндэсний цэцэрлэгт хүрээлэнгийн баруун талд байрлалтай.
(Зүүн харсан 3 цонхтой)

✅ Нэгдсэн хашаагаар хүрээлэгдсэн, 3 тийш гарцтай, хотхон дотроо Монгол билэг оюун сургууль, цэцэрлэгтэй, Гурван гал эмнэлэг, Спорт комплекстой (фитнесс, иог, бассейн, спорт заал), зэрэг 50 гаруй үйлчилгээг нэг дор төвлөрүүлсэн хотхон таны үнэт цагийг хэмнэнэ.",https://www.unegui.mn/adv/8021227_marshal-taund-3-oroo/,Паркет,1 тагттай,2002,Байхгүй,Вакум,6,Бүргэд,90.0 м²,6,Лизинггүй,4,Ашиглалтад орсон,4,13,Маршал,,,,,,Хан-Уул,Marshall town,,390,90,4.333333333
14,Сансар гарденд 55мкв 2 өрөө,322 сая ₮,3/16/2024,23:01,8115579,,2 өрөө,"УБ — Баянзүрх, Сансар","
Сансар гарденд 55.04мкв 2 өрөө худалдана.

- Баруун харсан цонхтой
- 20 давхарт

Мкв 5,850,000₮",https://www.unegui.mn/adv/8115579_khurdyn-sansar-gardend-55mkv-2-oroo-khudaldana/,Паркет,1 тагттай,2024,Байхгүй,Вакум,23,Бүргэд,55.04 м²,20,Лизинггүй,3,Ашиглалтад орсон,4,14,Сансар,,,,,,Баянзүрх,Сансар,,322,55.04,5.850290698
15,Zaisan Roma town 110.44m2 3 өрөө байр,"386.5 сая ₮
үнэ тохирно",3/16/2024,22:57,8017344,,3 өрөө,"УБ — Хан-Уул, Зайсан",,https://www.unegui.mn/adv/8017344_zaisan-romatown-110-44m2-tukhlag-bair/,Паркет,1 тагттай,2019,Байгаа,Вакум,14,Бүргэд,110.44 м²,2,Лизинггүй,5,Ашиглалтад орсон,4,15,Зайсан,,,,,,Хан-Уул,Зайсан,,386.5,110.44,3.499637812
16,Rivergarden 2 125м2 4өрөө,948.5 сая ₮,3/16/2024,22:56,6989829,,4 өрөө,"УБ — Хан-Уул, River Garden","
Ривер Гарден2 хотхонд 4өрөө урагш болон баруун харсан 125м2 байр зарна

Орчин үеийн шийдэл бүхий чанартай тансаг хотхонд зарах зах зээлээс. маш хямд зарна",https://www.unegui.mn/adv/6989829_rivergarden-2-125m2-4oroo/,Мод,2 тагттай,2017,Байхгүй,Модон вакум,17,Бүргэд,124.8 м²,8,Лизинггүй,7,Ашиглалтад орсон,4,16,Маршал,,,,,,Хан-Уул,River Garden,,948.5,124.8,7.600160256
17,Зайсан соёмбо хотхон 2 арөө орон сууц,"210 сая ₮
үнэ тохирно",3/16/2024,22:50,7970693,,2 өрөө,"УБ — Хан-Уул, Зайсан","
#FORSALE#ХУДАЛДАНА
👉#ЗАЙСАН, Богд уулын бэлд #СОЁМБО хотхонд 2 өрөө орон сууц худалдана


✅ ҮНЭ: 210 сая

📌📌 📌6%ийг шийдэж өгнө 📌📌📌

▪️61 мкв
▪️6/2 давхарт
▪️ Урагшаа харсан 2 цонхтой, 1 тагттай
▪️ Гэрчилгээ бэлэн

👉Дулаан зогсоол 30 сая
👉 Та цаг товлон үзэх боломжтой",https://www.unegui.mn/adv/7970693_zaisan-soiombo-khotkhon-2-aroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2010,Байгаа,Вакум,6,Бүргэд,61.0 м²,2,Лизинггүй,2,Ашиглалтад орсон,4,17,Зайсан,,,,,,Хан-Уул,Зайсан,,210,61,3.442622951
18,Сансарт 48м² 2 өрөө байр,110 сая ₮,3/16/2024,22:37,7933549,,2 өрөө,"УБ — Баянзүрх, Сансар","
Сансарт 48м2 2өрөө байр зарна.
-Наран талдаа цонхтой, дулаахан -97-р сургууль болон цэцэрлэг дугуйлан ойрхон
-Хүнсний зах ойр
- 2 талдаа автобусны буудал байрлана
-Хажуудаа машины зогсоол хангалттай
- Цонхны доор хүүхдийн тоглоомын талбайтай -Хэрэглээний төлбөр бага гардаг.
Үнэ:110сая
40 сая төгрөгт хувь лизинг хийж болно.",https://www.unegui.mn/adv/7933549_10-r-khoroolold-18m2-1oroo/,Паркет,1 тагттай,2000,Байхгүй,Вакум,6,Бүргэд,48.0 м²,6,Лизинггүй,3,Ашиглалтад орсон,4,18,Сансар,,,,,,Баянзүрх,Сансар,,110,48,2.291666667
19,Бгд модны 2т 75м2 3 өрөө байр,"169 сая ₮
190 сая ₮ үнэ тохирно",3/16/2024,22:33,8088250,,3 өрөө,"УБ — Баянгол, Баянгол, Хороо 18","
Модны2 Шинэ эрүүл мэндийн төвийн баруун талд бүх юмандаа ойрхон 3 өрөө байр зарна. Бэлэн мөнгөнд доод үнэ 169сая. Зуслангаар бартер хийж болно. Зуучтай хамтрахгүй.",https://www.unegui.mn/adv/8088250_3-oroo-bair-zarna/,Паркет,2 тагттай,2010,Байхгүй,Вакум,5,Бүргэд,75.0 м²,2,Лизинггүй,6,Ашиглалтад орсон,4,19,Модны 2,,,,,,Баянгол,Хороо 18,18,169,75,2.253333333
20,Gerlug vista хотхонд 123м2 4 өрөө,824 сая ₮,3/16/2024,22:32,8129174,,4 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 18","
Гэрлүг Виста 123мк 4 өрөө байр зарна.
- К8, 3 давхарт, урагшаа,баруун, зүүн
- Айл амьдраагүй шинэ
- Мк: 6,7 сая Нийт: 824 сая",https://www.unegui.mn/adv/8129174_gerlug-vista-khotkhond-123m2-4-oroo/,Паркет,2 тагттай,2023,Байхгүй,Вакум,23,Төмөр,123.0 м²,3,Банкны лизингтэй,6,Ашиглалтад орсон,4,20,,,,,,,Хан-Уул,Хороо 18,18,824,123,6.699186992
21,"Бзд цайз 16-д new town хотхонд 51,63мкв 2 өрөө орон сууц","147.15 сая ₮
үнэ тохирно",3/16/2024,22:32,8129177,,2 өрөө,"УБ — Баянзүрх, Цайз 16","
📍БЗД Цайз 16-д New town хотхонд 51,63мкв 2 өрөө орон сууц худалдана.
Үнэ: 147.150.000
Цэвэрхэн засвар хийх шаардлагагүй
2020 онд ашиглалтанд орсон
16/11 давхарт
Гэрчилгээ бэлэн
Банкны зээлээр авах боломжтой.",https://www.unegui.mn/adv/8129177_bzd-tsaiz-16-d-new-town-khotkhond-51-63mkv-2-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Бүргэд,52.0 м²,11,Банкны лизингтэй,3,Ашиглалтад орсон,4,21,,,,,,,Баянзүрх,Цайз 16,,147.15,52,2.829807692
22,Голден парк хотхонд 1 өрөө 35мкв байр,90 сая ₮,3/16/2024,22:20,8058882,,1 өрөө,"УБ — Баянгол, 10-р хороолол","
+ Сургууль, цэцэрлэг, эмнэлэг, автобусны буудалтай ойрхон.
+ Цэвэрхэн засвар хийсэн, тохилон байрыг зарна.",https://www.unegui.mn/adv/8058882_golden-park-khotkhond-1-oroo-35mkv-bair/,Паркет,1 тагттай,2011,Байхгүй,Вакум,16,Бүргэд,35.0 м²,7,Лизинггүй,1,Ашиглалтад орсон,4,22,10-р хороолол,,,,,,Баянгол,10-р хороолол,,90,35,2.571428571
23,Яармагт Сити палас хотхонд 52.40 м2 2 өрөө,167 сая ₮,3/16/2024,22:17,8065615,,2 өрөө,"УБ — Хан-Уул, Яармаг",,https://www.unegui.mn/adv/8065615_iaarmagt-siti-palas-khotkhond-52-40-m2-2-oroo-zarna/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Төмөр,52.4 м²,11,Банкны лизингтэй,2,Ашиглалтад орсон,,,Яармаг,,,,,,Хан-Уул,Яармаг,,167,52.4,3.187022901
24,"Сбд 9-р хороо 2 өрөө байр 42,22м2",147 сая ₮,3/16/2024,22:15,8072350,,2 өрөө,"УБ — Сүхбаатар, Сүхбаатар, Хороо 9","
2 өрөө худалдана.",https://www.unegui.mn/adv/8072350_ulsyn-bolon-ikh-deed-surguuldaa-oir-bair-zarna/,Паркет,1 тагттай,2022,Байхгүй,Вакум,16,Бүргэд,42.22 м²,3,Банкны лизингтэй,3,Ашиглалтад орсон,4,23,Дөлгөөн нуур,,,,,,Сүхбаатар,Хороо 9,9,147,42.22,3.481762198
25,Шинэ хороолол хотхонд 28 мкв 1 өрөө байр,85 сая ₮,3/16/2024,21:47,8098871,,1 өрөө,"УБ — Баянгол, 3, 4 хороолол","
3,4 хороолол, Гэмтлийн ард, 28 мкв 1 өрөө байр зарна.
Зүүн харсан цонхтой.",https://www.unegui.mn/adv/8098871_3-4-khoroolol-gemtliin-ard-shine-khoroolol-khotkhond-28-mkv-1-oroo/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,28.0 м²,14,Лизинггүй,1,Ашиглалтад орсон,4,24,"3, 4 хороолол",,,,,,Баянгол,"3, 4 хороолол",,85,28,3.035714286
26,"3,4 хороолол, гэмтлийн ард 54,3 мкв 2 өрөө",152 сая ₮,3/16/2024,21:45,8109915,,2 өрөө,"УБ — Баянгол, 3, 4 хороолол","
3,4 хороолол, Гэмтлийн ард зам дагуу Шинэ хороолол хотхонд шинэ 2 өрөө байр зарна.
Зүүн харсан 2 цонхтой.",https://www.unegui.mn/adv/8109915_3-4-khoroolol-gemtliin-ard-zam-daguu-54-3-mkv-shine-2-oroo/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,54.3 м²,4,Лизинггүй,2,Ашиглалтад орсон,4,25,"3, 4 хороолол",,,,,,Баянгол,"3, 4 хороолол",,152,54.3,2.799263352
27,"10 хороолол, анагаах ухааны сургуулийн ард 47 мкв 2 өрөө",125 сая ₮,3/16/2024,21:45,8117198,,2 өрөө,"УБ — Баянгол, 10-р хороолол","
10 хороолол, Анагаах ухааны им сургуулийн ард 47 мкв 2 өрөө зарна.
Урагш харсан 3 зүүн харсан 1 цонхтой, 1 тагттай.
Засвар хийх шаардлагагүй цэвэрхэн.
Гал тогоо, банны өрөөны тавилга, 2 авжур үлдэнэ.
Гадна зогсоол сайн. Улсын цэцэрлэг сургууль ойрхон.",https://www.unegui.mn/adv/8117198_10-khoroolol-anagaakh-ukhaany-surguuliin-ard-47-mkv-2-oroo/,Паркет,1 тагттай,2008,Байхгүй,Вакум,4,Бүргэд,47.0 м²,3,Лизинггүй,4,Ашиглалтад орсон,4,26,10-р хороолол,,,,,,Баянгол,10-р хороолол,,125,47,2.659574468
28,"1 хороолол, цамбад гал тогоо тусдаа 3 өрөө",180 сая ₮,3/16/2024,21:45,8103321,,3 өрөө,"УБ — Сонгинохайрхан, 1-р хороолол","
1 хороолол, Цамбад гал тогоо тусдаа 3 өрөө байр зарна.
Баруун харсан цонхтой.
Шкаф үлдэнэ.",https://www.unegui.mn/adv/8103321_1-khoroolol-tsambad-gal-togoo-tusdaa-3-oroo/,Паркет,2 тагттай,1990,Байхгүй,Вакум,9,Бүргэд,85.0 м²,3,Лизинггүй,4,Ашиглалтад орсон,4,27,1-р хороолол,,,,,,Сонгинохайрхан,1-р хороолол,,180,85,2.117647059
29,Драгоны ард гал тогоо тусдаа 3 өрөө 85м2,160 сая ₮,3/16/2024,21:45,8100040,,3 өрөө,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 29","
Хуучин Драгоны ард гал тогоо тусдаа 3 өрөө байр зарна.
Баруун болон зүүн харсан цонхтой.",https://www.unegui.mn/adv/8100040_khuuchin-dragony-ard-gal-togoo-tusdaa-3-oroo/,Паркет,1 тагттай,1990,Байхгүй,Вакум,9,Бүргэд,85.0 м²,6,Лизинггүй,4,Ашиглалтад орсон,4,28,Москва,,,,,,Сонгинохайрхан,Хороо 29,29,160,85,1.882352941
30,"3,4 хороолол эцэст 40 мкв 2 өрөө байр",117 сая ₮,3/16/2024,21:45,8088636,,2 өрөө,"УБ — Баянгол, Баянгол, Хороо 17","
3,4 хорооллын эцэс, Модны 2 ын зам дагуу 40 мкв 2 өрөө байр зарна.
Зүүн харсан цонхтой.
Гал тогооны тавилга үлдэнэ.
Гэрчилгээ бэлэн.",https://www.unegui.mn/adv/8088636_3-4-khoroolol-etsest-40-mkv-2-oroo/,Паркет,1 тагттай,2006,Байхгүй,Вакум,5,Бүргэд,40.0 м²,1,Лизинггүй,2,Ашиглалтад орсон,4,29,Модны 2,,,,,,Баянгол,Хороо 17,17,117,40,2.925
31,Бзд 21 сургууль урд гал тогоо тусдаа 3 өрөө байр,"230 сая ₮
үнэ тохирно",3/16/2024,21:43,8129086,,3 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 6",,https://www.unegui.mn/adv/8129086_bzd-21-surguul-urd-gal-togoo-tusdaa-3-oroo-bair-zarno/,Паркет,1 тагттай,1992,Байхгүй,Вакум,9,Бүргэд,80.0 м²,3,Банкны лизингтэй,4,Ашиглалтад орсон,4,30,Бөхийн өргөө,,,,,,Баянзүрх,Хороо 6,6,230,80,2.875
32,Схд авто сургууль 2 өрөө 29м2,9.2 сая ₮,3/16/2024,21:39,7864325,,2 өрөө,"УБ — Сонгинохайрхан, 21-р хороолол","
схд дүүрэг болон схд дүүргийн нэгдсэн эмнэлэгтэй мөн 62-р сургууль 156 цэцэрлэгт ойрхон",https://www.unegui.mn/adv/7864325_skhd-avto-surguul/,Паркет,1 тагттай,1997,Байхгүй,Вакум,4,Бүргэд,29.0 м²,4,Банкны лизингтэй,3,Ашиглалтад орсон,4,31,21-р хороолол,,,,,,Сонгинохайрхан,21-р хороолол,,9.2,29,0.317241379
33,"Алтай хотхоны ард, midle river хотхонд 47 мкв 2 өрөө байр",141 сая ₮,3/16/2024,21:37,8129094,,2 өрөө,"УБ — Баянгол, Алтай хотхон","
Алтай хотхоны ард 47 мкв шинэ 2 өрөө байр зарна.
Баруун харсан цонхтой.",https://www.unegui.mn/adv/8129094_altai-khotkhony-ard-midle-river-khotkhond-47-mkv-shine-2-oroo/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,47.0 м²,4,Лизинггүй,2,Ашиглалтад орсон,4,32,Алтай хотхон,,,,,,Баянгол,Алтай хотхон,,141,47,3
34,3р хороолол apex дэлгүүрийн арын угсармал байранд гал тогоо тусдаа 2өрөө,"150 сая ₮
үнэ тохирно",3/16/2024,21:34,8077414,,2 өрөө,"УБ — Баянгол, 3, 4 хороолол","
🔥Сургууль цэцэрлэг өрх хороо автобусны буудал гээд бүх үйлчилгээндээ ойрхон
🔥Баруун болон хойш харсан цонхнуудтай
🔥5м урт тагттай",https://www.unegui.mn/adv/8077414_3r-khoroolol-apex-delguuriin-aryn-ugsarmal-bairand-gal-togoo-tusdaa-2oroo-zarna/,Цемент,1 тагттай,1980,Байхгүй,Вакум,9,Бүргэд,55.0 м²,3,Лизинггүй,4,Ашиглалтад орсон,4,33,"3, 4 хороолол",,,,,,Баянгол,"3, 4 хороолол",,150,55,2.727272727
