N,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,Код:,Байршил 2,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
11,19-т үйлчилгээний төвийн хажууд 50.25мкв -3 өрөө байр,"188 сая ₮
үнэ тохирно",3/19/2024,22:52,8137863,,3 өрөө,"УБ — Хан-Уул, 19-р хороолол","
🎈ХУД 2-р хороо 19-р хороолол 19-н үйлчилгээний төвийн баруун урд байрлалтай ""Александр"" хотхонд
🎈50.25мкв -2 өрөө орон сууц
(3 өрөө болгосон) худалдана.

10/7 давхарт
Үнэ: 188 сая",https://www.unegui.mn/adv/8137863_19-t-uilchilgeenii-toviin-khazhuud-50-25mkv-3-oroo-bair-khudaldana/,Паркет,1 тагттай,2014,Байхгүй,Вакум,10,Бүргэд,50.25 м²,7,Лизинггүй,3,Ашиглалтад орсон,4,10,,,19-р хороолол,,,,,,Хан-Уул,19-р хороолол,,188,50.25,3.741293532
12,Khan hills хотхонд 4 өрөө байр,"720 сая ₮
үнэ тохирно",3/19/2024,22:50,8137865,,4 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 17","
"" Khan Hills – Хан Хиллс "" хотхонд 140.7 м.кв, 4 өрөө орон сууц худалдана.

Байршил: ХУД, 17 -р хороо, Маршалын гүүрний баруун талд
▪️ 140.7 м.кв | 4 өрөө | 2 ацө
▪️ Зочны өрөө, гал тогооны өрөө хамт
▪️ Гал тогооны тавилгатай

Нийт үнэ: 720 сая ₮

#Khanhills #Ханхиллс #4 #өрөө #байр #ХУДАЛДАНА",https://www.unegui.mn/adv/8137865_khan-hills-khotkhond-4-oroo-bair-khudaldana/,Паркет,1 тагттай,2021,Байхгүй,Вакум,14,Бүргэд,140.0 м²,11,Банкны лизингтэй,4,Ашиглалтад орсон,4,11,,,,,,,,,Хан-Уул,Хороо 17,17,720,140,5.142857143
13,Цэцэрлэгт хүрээлэн мандала таун 124.3m2 4 өрөө байр,700 сая ₮,3/19/2024,22:49,7977693,,4 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
MANDALA TOWN хотхонд 124.3m2 4өрөө байр худалдана

-Гэрчилгээ бэлэн✅

✅ 15/7 давхарт байрлалтай

✅ 2 ариун цэврийн өрөөтэй

✅ 3 унтлагын өрөөтэй

✅2 балконтой

✅ Хувцасны өрөөтэй

✅ Үүдний шкап,гал тогоo, хувцасны өрөөний тавилгууд дагалдана

-Зогсоол тусдаа 50сая

-Үнэ: 700сая


-Байршил: Цэцэрлэгт
хүрээлэнгийн хойно MANDALA TOWN хотхон",https://www.unegui.mn/adv/7977693_tsetserlegt-khureelen-mandala-taun/,Паркет,2 тагттай,2022,Байхгүй,Вакум,15,Бүргэд,124.0 м²,7,Лизинггүй,5,Ашиглалтад орсон,4,12,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,700,124,5.64516129
14,Баганат хороололд 1 өрөө,99 сая ₮,3/19/2024,22:49,8029662,,1 өрөө,"УБ — Баянзүрх, Эрдэнэ толгой","
#Баганат хороололд 2024 оны 2сард ашиглалтанд орсон орон сууцанд 1 өрөө орон сууц худалдана.

☎️ | Үнэ: 99сая

• 16/13,14 давхарт
• 32.4мкв урагшаа харсан цонх
• хотхондоо улсын цэцэрлэгтэй
• Улсын 92р сургуулийн харъяа",https://www.unegui.mn/adv/8029662_baganat-khoroolold-1-oroo-shine/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,32.4 м²,13,Лизинггүй,1,Ашиглалтад орсон,4,13,,,Эрдэнэ толгой,,,,,,Баянзүрх,Эрдэнэ толгой,,99,32.4,3.055555556
15,"Цайз зах, sky residence2 хотхонд 36.08мкв 1 өрөө",99 сая ₮,3/19/2024,22:46,8137855,,1 өрөө,"УБ — Баянзүрх, Цайз","
💥Цайз захын баруун талын Скайрезиденс2 хотхонд 36.08мкв 1-байр худалдана.

-Баруун харсан цонхтой
-16/13 давхарт
-2020онд ашиглалтанд орсон
-Гэрчилгээ бэлэн
Гал тогоо үүдний шкаф үлдээж болно

💰: 99саяд",https://www.unegui.mn/adv/8137855_tsaiz-zakh-sky-residence2-khotkhond-36-08mkv-1-oroo/,Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Бүргэд,36.08 м²,13,Лизинггүй,1,Ашиглалтад орсон,4,14,,,,,,,,,Баянзүрх,Цайз,,99,36.08,2.743902439
16,Уид хойно 2 өрөө,220 сая ₮,3/19/2024,22:46,8116084,,2 өрөө,"УБ — Чингэлтэй, Чингэлтэй, Хороо 3","
📍 Улсын их дэлгүүрийн хойно 48мкв 2өрөө орон сууц худалдана.
доод үнэ: 220сая

-Гэрчилгээ бэлэн
- 4|2 давхарт
- Баруун харсан 3 цонх
- Бүх тавилга үлдэнэ
-дахин төлөвлөлтөнд орсон ирээдүйд өсөх үнэ цэнэтэй байршил.

❗️ Улсын 24р сургуулийн харъяа
❗️Олонлог сургуулаас 200метрт",https://www.unegui.mn/adv/8116084_uid-khoino-2-oroo/,Паркет,1 тагттай,1998,Байхгүй,Вакум,4,Бүргэд,44.0 м²,3,Лизинггүй,3,Ашиглалтад орсон,4,15,,,Их дэлгүүр,,,,,,Чингэлтэй,Хороо 3,3,220,44,5
17,3 uruu bair 79.77m2,"343 сая ₮
үнэ тохирно",3/19/2024,22:45,8050157,,3 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 3","
Унтлагын өрөө хувцасны өрөөтэй",https://www.unegui.mn/adv/8050157_1-mkv-4300000/,Паркет,1 тагттай,2020,Байхгүй,Вакум,14,Бүргэд,79.77 м²,8,Банкны лизингтэй,5,Ашиглалтад орсон,4,16,,,Зайсан хойно,,,,,,Хан-Уул,Хороо 3,3,343,79.77,4.299862104
18,Park villa 3 өрөө байр 73мкв,370 сая ₮,3/19/2024,22:43,7439294,,3 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
Цэцэрлэгт хүрээлэнгийн хойно Park Villa хотхон
-73.15мк2
-Бүрэн засвар хийсэн/ герман egger brand-н 24цагын усны хамгаалалттай, хүний биед хоргүй, өнгө нь хувирахгүй шал, япон эко обой/
-Гал тогоо, үүдний шкаф дагалдана.
Зууч биш. Гэрчилгээ бэлэн.
6% ийн зээл гаргаж өгнө",https://www.unegui.mn/adv/7439294_park-villa-park-villa-3-oroo-zarna/,Ламинат,1 тагттай,2021,Байхгүй,Вакум,16,Бүргэд,73.15 м²,4,Лизинггүй,3,Ашиглалтад орсон,4,17,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,370,73.15,5.058099795
19,10р хороололд тавилгатай 2өрөө байр,180 сая ₮,3/19/2024,22:34,8044916,,2 өрөө,"УБ — Баянгол, 10-р хороолол","
Гал тогоо тусдаа ОО ванн тусдаа урт том балконтой урагшаа харсан цонхтой засвар хийсэн шинэ тавилга цахилгаан бараа нь бүгд үлдэнэ хувцасаа аваад ороход бэлэн 10р хороололын замын урд автобусны буудлын яаг урд талын бүх юмтайгаа ойрхон өвөлдөө дулаахан фасад хийсэн том 2 өрөө зарна.",https://www.unegui.mn/adv/8044916_tavilga-tsakhilgaan-baraatai-bair-zarna/,Паркет,1 тагттай,1999,Байхгүй,Вакум,6,Бүргэд,60.0 м²,4,Лизинггүй,3,Ашиглалтад орсон,4,18,,,10-р хороолол,,,,,,Баянгол,10-р хороолол,,180,60,3
20,Belmonte residence хотхонд 4 өрөө орон сууц,4.2 сая ₮,3/19/2024,22:31,7768421,,4 өрөө,"УБ — Хан-Уул, Яармаг","
Амьдрах орчин сайтай, тав тухтай, чанартай орон сууцыг танд санал болгож байна.
Айл амьдраад хагас жил болсон бараг шинэ гал тогооны тавилгатай
Хувийн сайн сургуулиудтай ойр.",https://www.unegui.mn/adv/7768421_belmonte-residence-khotkhond-4-oroo-oron-suuts-khudaldana/,Ламинат,1 тагттай,2022,Байгаа,Вакум,15,Бүргэд,122.71 м²,15,Лизинггүй,4,Ашиглалтад орсон,4,19,,,Яармаг,,,,,,Хан-Уул,Яармаг,,4.2,122.71,0.034227039
21,Төмөр замд 3 өрөө орон сууц,3.6 сая ₮,3/19/2024,22:31,7979855,,3 өрөө,"УБ — Баянгол, Төмөр зам","
Тохижилт сайтай дуу чимээгүй сайхан байр худалдана
баруун харсан цонхтой
дулаан зогсоолтой
хананд суурилагдсан тавилга үлдэнэ
38-р сургуулийн харъяа",https://www.unegui.mn/adv/7979855_tomor-zamd-3-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2010,Байгаа,Төмөр вакум,10,Бүргэд,103.0 м²,6,Лизинггүй,3,Ашиглалтад орсон,4,20,,,Төмөр зам,,,,,,Баянгол,Төмөр зам,,3.6,103,0.034951456
22,"Замын цагдаа, юнион оффисын ард 59а байранд 164мкв 4өрөө","656 сая ₮
үнэ тохирно",3/19/2024,22:27,8094871,,4 өрөө,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1","
Хотын А бүс болох Замын цагдаагийн хойно буюу Юнион оффисын ард 59А байранд 164 мкв 4 өрөө орон сууц худалдана.

▫️ 6/12 давхарт
▫️ 2 ариун цэврийн өрөө
▫️ Урагшаа, баруун болон хойшоо харсан харууцтай
▫️ 90% бартер сонсох боломжтой

Үнэ: 656 сая. М.кв нв 4 сая",https://www.unegui.mn/adv/8094871_khotyn-a-bus-bolokh-zamyn-tsagdaa-iunion-offisyn-ard-59a-bairand-164mkv-4oroo/,Паркет,1 тагттай,2018,Байхгүй,Вакум,12,Бүргэд,164.0 м²,6,Хувь лизингтэй,6,Ашиглалтад орсон,4,21,,,Талбай,,,,,,Сүхбаатар,Хороо 1,1,656,164,4
23,Сити паласд 3 өрөө орон сууц,197.34 сая ₮,3/19/2024,22:26,8137821,,3 өрөө,"УБ — Хан-Уул, Яармаг","
Яармагт Сити палас хотхонд ашиглалтанд орсон цоо шинэ 3 өрөө орон сууц худалдана.

✅ ГЭРЧИЛГЭЭ БЭЛЭН БАЙГАА

✅ 3 өрөө / 68,05м2 / 5 давхарт/ урагшаа харууцтай


- Улсын сургууль болон цэцэрлэг яг хажуудаа
- Автобусны буудал болон бүх үйлчилгээндээ ч ойр

Үнэ: м2 нь 2,9 сая / нийт 197,345,000 төг/",https://www.unegui.mn/adv/8137821_siti-palasd-3-oroo-lron-suuts-khudaldana/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,68.0 м²,5,Банкны лизингтэй,4,Ашиглалтад орсон,4,22,,,Яармаг,,,,,,Хан-Уул,Яармаг,,197.34,68,2.902058824
24,Шинэ яармаг хороолол 64.55мкв 2 өрөө,258.2 сая ₮,3/19/2024,22:24,8137817,,2 өрөө,"УБ — Хан-Уул, Яармаг","
📍Шинэ яармаг хороололд 2 өрөө худалдана.
✔️64.55мкв
✔️16/16 давхарт
✔️урагш баруун харсан
✔️гэрчилгээ бэлэн
Үнэ-4сая💰",https://www.unegui.mn/adv/8137817_shine-iaarmag-khoroolol-64-55mkv-2-oroo/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,64.55 м²,16,Лизинггүй,3,Ашиглалтад орсон,4,23,,,Яармаг,,,,,,Хан-Уул,Яармаг,,258.2,64.55,4
25,"Худ нисэх,active garden хотхонд 92,82 мкв 4 өрөө орон сууц","371.28 сая ₮
үнэ тохирно",3/19/2024,22:21,8092368,,4 өрөө,"УБ — Хан-Уул, Нисэх","
✴️ ХУД Нисэх, “Active Garden” хотхонд 92,82 мкв шинэ 4 өрөө орон сууц худалдана

Үнэ: 1 мкв ~ 4сая ₮

- 16 давхарын 10 давхарт
- Баруун зүүн болон хойшоо харсан цонхтой
- 2 ариун цэврийн өрөөтэй
- Гэрчилгээ бэлэн учраас банкны зээлээр авах боломжтой
- Он залуу Land 200, LX 570 бартерт сонсоно
- Бэлэн мөнгөнд үнэ тохирно",https://www.unegui.mn/adv/8092368_khud-nisekh-active-garden-khotkhond-92-82-mkv-shine-4-oroo-oron-suuts/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,92.82 м²,10,Банкны лизингтэй,4,Ашиглалтад орсон,5,1,,,Нисэх,,,,,,Хан-Уул,Нисэх,,371.28,92.82,4
26,Зайсан golden vill хотхонд 168 мкв 5 өрөө байр,"555.32 сая ₮
үнэ тохирно",3/19/2024,22:20,8137813,,5+ өрөө,"УБ — Хан-Уул, Зайсан","
Зайсан толгойн зүүн талд байрлах
ZAISAN GOLDEN VILL хотхонд 168.28 м.кв 5 өрөө байр худалдана

М.кв-н үнэ: 3'300'000₮
Нийт үнэ: 555'324'000₮

▫️ 10/8 давхарт
▫️ Баруун болон зүүн харсан цонхтой
▫️ Гал тогооны тавилга болон суурилагдсан тавилгууд дагалдана
▫️ 2 а.ц өрөөтэй
▫️ Давхартаа 2 айлтай
▫️ 1 дулаан зогсоолтой /35 сая ₮/",https://www.unegui.mn/adv/8137813_zaisan-golden-vill-khotkhond-168-mkv-5-oroo-bair-khudaldana/,Паркет,Тагтгүй,2017,Байгаа,Вакум,10,Бүргэд,168.0 м²,8,Банкны лизингтэй,5,Ашиглалтад орсон,5,2,,,Зайсан,,,,,,Хан-Уул,Зайсан,,555.32,168,3.30547619
27,Сансар 805-н ард 72.35мкв 3 өрөө,166.4 сая ₮,3/19/2024,22:20,8137811,,3 өрөө,"УБ — Баянзүрх, Сансар","
📍Сансар 805-ын ард 3 өрөө худалдана.
✅72.35мкв
✅5/2 давхарт
✅баруун урагш харсан
✅2010 онд орсон
Үнэ-166,400,000 (мкв-2,3сая)",https://www.unegui.mn/adv/8137811_sansar-805-n-ard-72-35mkv-3-oroo/,Паркет,1 тагттай,2010,Байхгүй,Вакум,5,Бүргэд,72.35 м²,2,Лизинггүй,4,Ашиглалтад орсон,5,3,,,Сансар,,,,,,Баянзүрх,Сансар,,166.4,72.35,2.299930891
28,Бзд сансарын home plaza ард 2 өрөө байр,"140 сая ₮
үнэ тохирно",3/19/2024,22:19,8137735,,1 өрөө,"УБ — Баянзүрх, Сансар","
Сургууль цэцэрлэг автобусны буудалтайгйй ойрхон",https://www.unegui.mn/adv/8137735_bzd-sansaryn-home-plaza-ard-2-oroo-bair-zarna-utas89179595/,Паркет,1 тагттай,2015,Байхгүй,Вакум,3,Бүргэд,42.24 м²,3,Лизинггүй,2,Ашиглалтад орсон,5,4,,,Сансар,,,,,,Баянзүрх,Сансар,,140,42.24,3.314393939
29,Сансарын и-мартын хажууд 2өрөө байр,5 сая ₮,3/19/2024,22:19,8137792,,2 өрөө,"УБ — Баянзүрх, Сансар","
Сансарын Имартын хажууд Автай Сайн Хааны хотхонд 2 өрөө байр зарна",https://www.unegui.mn/adv/8137792_sansaryn-i-martyn-khazhuud-2oroo-bair-zarna/,Паркет,1 тагттай,2021,Байхгүй,Вакум,10,Бүргэд,43.0 м²,7,Лизинггүй,2,Ашиглалтад орсон,5,5,,,Сансар,,,,,,Баянзүрх,Сансар,,5,43,0.11627907
30,Сансрын ктмс-н хажууд 1 өрөө байр,"104.4 сая ₮
үнэ тохирно",3/19/2024,22:18,8137795,,1 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 2","
Их сургууль, төв замтайгаа ойр, гал тогооны тавилгатай 1 өрөө байр үнэ тохирч зарна.",https://www.unegui.mn/adv/8137795_sansryn-ktms-n-khazhuud-1-oroo-bair/,Паркет,1 тагттай,2012,Байхгүй,Вакум,10,Бүргэд,29.0 м²,6,Лизинггүй,2,Ашиглалтад орсон,5,6,,,КТМС,,,,,,Баянзүрх,Хороо 2,2,104.4,29,3.6
31,Modnii 2 shine 7r tuvuus baruun tiish bairlaltai 2 uuruu bair 38m2,"120 сая ₮
үнэ тохирно",3/19/2024,22:18,8137799,,2 өрөө,"УБ — Баянгол, Модны 2","
Uvulduu mash dulaahan. Ipotekiin zeeld hamragdah bolomjtoi. Jich utsaar holbogdoj delgerenhui medeelel avaarai.",https://www.unegui.mn/adv/8137799_modnii-2-shine-7r-tuvuus-baruun-tiish-bairlaltai-2-uuruu-bair-zarna-38m2/,Паркет,1 тагттай,2013,Байхгүй,Вакум,13,Бүргэд,38.0 м²,3,Банкны лизингтэй,3,Ашиглалтад орсон,5,7,,,,,,,,,Баянгол,Модны 2,,120,38,3.157894737
32,Дэлгэрэх хотхонд 2 өрөө 52м2,126 сая ₮,3/19/2024,22:17,7958415,,2 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 3","
ХУД -ийн 3 хороо 3 дугаар цахилгаан станцын баруун хойно байрлах 2016 онд ашиглалтанд орсон бүрэн цутгамал Дэлгэрэх хотхон.
- 51.8мк Гал тогоо тусдаа 2 өрөө
- Бүх хана бүрэн цутгамал, давхартаа 7 айлтай, 2 лифттэй, гаднаа хүүхдийн тоглоомын иж бүрэн талбайтай
- Хотхон дотор улсын цэцэрлэг, өдөр өнжүүлэхтэй
- Автобусны буудал ойрхон.
- Гал тогооны тавилга хувцасны ханын том шкап дагалдана.
- Орчны дуу чимээгүй, өвөлдөө агаар цэвэр, утаагүй, маш дулаахан
- 2016 оноос нэг айл амьдарсан, Бүх цонх наран талдаа.",https://www.unegui.mn/adv/7958415_delgerekh-khotkhon/,Паркет,1 тагттай,2016,Байхгүй,Вакум,12,Бүргэд,51.8 м²,8,Лизинггүй,3,Ашиглалтад орсон,5,8,,,Зайсан хойно,,,,,,Хан-Уул,Хороо 3,3,126,51.8,2.432432432
33,Кристал таун 80м2,"368 сая ₮
үнэ тохирно",3/19/2024,22:15,8137785,,3 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
Кристал таун 803байранд 3өрөө зарна. Засвар хийсэн.",https://www.unegui.mn/adv/8137785_kristal-taun-80m2/,Паркет,Тагтгүй,2011,Байхгүй,Вакум,15,Бүргэд,80.0 м²,14,Лизинггүй,3,Ашиглалтад орсон,5,9,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,368,80,4.6
