,Unnamed: 0.1,Unnamed: 0,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
10,10,29,1-р хороолол саппород 3 өрөө орон сууц,"200 сая ₮
үнэ тохирно",2024-03-06,15:22,8099381,,3 өрөө,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 27","
Саппоро мөнгөн гүүр эмнэлэгийн хойд талын 1-р байранд маш дулаахан ойр орчин орц цэвэрхэн байр байгаа ирж үзээрэй холбогдох утас",https://www.unegui.mn/adv/8099381_1-r-khoroolol-sapporod-oron-suuts-zarna/,Паркет,Тагтгүй,1988,Байхгүй,Вакум,9,Төмөр,40.0 м²,3,Лизинггүй,4,Ашиглалтад орсон,4.0,30.0,1-р хороолол,,,,,,Сонгинохайрхан,Хороо 27,27,200.0,40.0,5.0
11,11,28,Jargalan hothond 5 uruu duplex,"2.96 сая ₮
үнэ тохирно",2024-03-06,16:07,7966313,,5+ өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15","
📍Худ. Home plaza. Жаргалан_хотхонд 𝟭𝟴𝟵,𝟱_мкв #дуплекс 𝟱 өрөө байр худалдана
💰Үнэ: 560 сая ₮ (дулаан зогсоол орсон үнэ)
-Гэрчилгээ бэлэн

-урагшаа 4, хойшоо харсан 3 цонхтой
-дээд давхарт 3 унтлагын өрөө, өрөө бүрт хувцасны өрөө, 2 ш а.ц өрөөтөй
-доод давхарт 2 өрөө, 1 а.ц өрөөтөй, агуулах/хувцасны 2 өрөөтөй

📍ХУД, Солонгос элчин сайдын яам, Corporate Convention center-н хойно, Home Plaza-н баруун талд байрлалтай.
📍Сүхбаатарын талбайгаас урд зүгт 2,3 км зайтай.",https://www.unegui.mn/adv/7966313_jargalan-hothond-5-uruu-duplex-mash-hymd/,Паркет,2 тагттай,2010,Байхгүй,Мод,3,Бүргэд,189.5 м²,4,Банкны лизингтэй,6,Ашиглалтад орсон,4.0,29.0,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,2.96,189.5,0.01562005277044855
12,12,27,"Khan hills хотхонд 4 өрөө 140,7м2",5.1 сая ₮,2024-03-06,19:03,8046200,,4 өрөө,"УБ — Хан-Уул, River Garden","
Хан Хиллс хотхонд 2019 онд ашиглалтад орсон 4 өрөө байр зарна.
+ Хотхоны баруун талын 530-р байр
+ 2 ванн, том тагт, баруун зүүн харсан цонхнуудтай
+ Гал тогооны тавилга дагалдана
+ Бартер сонсоно. Энэ нөхцөлд м.кв-ийг 5.3 саяд тооцно.
+ Бэлэн төлөлтөөр бол сайхан ярилцаад аваарай",https://www.unegui.mn/adv/8046200_khan-hills-khotkhond-4-oroo-zarna/,Паркет,1 тагттай,2019,Байхгүй,Төмөр вакум,14,Төмөр,140.7 м²,5,Банкны лизингтэй,8,Ашиглалтад орсон,4.0,28.0,Маршал,,,,,,Хан-Уул,River Garden,,5.1,140.7,0.03624733475479744
13,13,26,Нисэхийн тойрог спорт цогцолборын дэргэд 71.74м2 3 өрөө,"200 сая ₮
үнэ тохирно",2024-03-07,09:02,8100357,,3 өрөө,"УБ — Хан-Уул, Нисэх","
Баруун болон урагшаа харсан цонхтой харууц сайтай, маш дулаахан. Бүрэн цутгамал
Суурилуулсан тавилгууд дагалдана. Гэрчилгээ бэлэн тул банкны зээлээр авах боломжтой.",https://www.unegui.mn/adv/8100357_nisekhiin-toirog-sport-tsogtsolboryn-derged-71-74m2-3-oroo-bair-zarna/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,71.74 м²,9,Лизинггүй,4,Ашиглалтад орсон,4.0,27.0,Нисэх,,,,,,Хан-Уул,Нисэх,,200.0,71.74,2.7878449958182325
14,14,25,"Шинэ алтай хотхонд 76.35м2, 3 өрөө байр",3.3 сая ₮,2024-03-07,13:00,8101812,,3 өрөө,"УБ — Баянгол, Алтай хотхон","
БГД, 24-р хороо, Altai Residence хотхонд 76.35 м.кв 3 өрөө орон сууц худалдана

✅16/8 давхарт
✅ Зүүн харсан 3 цонх
✅ 1 ариун цэврийн өрөө
✅ 2 унтлагын өрөө
✅Цэлгэр зочны өрөө
-Гал тогооны тавилга дагалдахгүй

📌Үнэ : м2 нь 3.3 сая",https://www.unegui.mn/adv/8101812_shine-altai-khotkhond-76-35m2-3-oroo-shine-bair/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,76.35 м²,8,Лизинггүй,3,Ашиглалтад орсон,4.0,26.0,Алтай хотхон,,,,,,Баянгол,Алтай хотхон,,3.3,76.35,0.043222003929273084
15,15,24,Хүүхдийн 100-д 1 өрөө байр 18м2,"165 сая ₮
үнэ тохирно",2024-03-07,23:50,8103348,,1 өрөө,"УБ — Сүхбаатар, Сүхбаатар, Хороо 5","
Хүүхдийн 100, Наранмоллын урд наран тал руу харсан цонхтой, дулаахан гал тогоо тусдаа 1 өрөө байр зарна. (Валконы хаалттай)
Жич: зуучтай хамтрахгүй.",https://www.unegui.mn/adv/8103348_khuukhdiin-100-d-1-oroo/,Паркет,1 тагттай,1988,Байхгүй,Вакум,5,Төмөр,18.0 м²,5,Банкны лизингтэй,2,Ашиглалтад орсон,4.0,25.0,Талбай,,,,,,Сүхбаатар,Хороо 5,5,165.0,18.0,9.166666666666666
16,16,23,33мкв 1 өрөө байр,"75 сая ₮
үнэ тохирно",2024-03-08,01:07,8006677,,1 өрөө,"УБ — Сонгинохайрхан, 5 шар","
2014 онд орсон урагшаа харсан цонхтой, зам дагуу, автобусны буудалтай ойрхон, автомашины зогсоол сайтай.",https://www.unegui.mn/adv/8006677_33m2-1-oroo-bair-zarna/,Паркет,1 тагттай,2014,Байхгүй,Вакум,5,Бүргэд,33.0 м²,2,Лизинггүй,1,Ашиглалтад орсон,4.0,24.0,5 шар,,,,,,Сонгинохайрхан,5 шар,,75.0,33.0,2.272727272727273
17,17,14,Мандала гарден 84.5м2 3 өрөө,"4.2 сая ₮
үнэ тохирно",2024-03-08,04:37,8076402,,3 өрөө,"УБ — Хан-Уул, Яармаг","
мандала гарденд 14 давхарын 84.5м2 байр зарна. бичиг баримт бэлэн, зууч биш

⭐️2 нойлтой

⭐️бүх цонх нано шүлтүүртэй. ✅ үлдэнэ!

⭐️полкон рейклсэн ✅ үлдэнэ!

⭐️хөшигний зам 50,60см тутам бэхэлж
суурьлуулсан, хөшиг ✅ үлдэнэ!

⭐️бүх өрөө абжуртай ✅ үлдэнэ!

⭐️2 том шкаф / egger, kronospan /
хавтангаар хийсэн. ✅ үлдэнэ!

⭐️цэлгэр том гал тогоо. том тек / egger,
kronospan / ✅ үлдэнэ!

⭐️ажлын болон хоолны ширээ тус бүр өгч
болно. ✅ үлдэнэ!

⭐️electrolux-н гал тогооны ком / дуков, печ,
плетка, хиншүү сорогч /
65инч зурагт, electrolux.н 10кг угаалгын
машин, lg.н knock2 хөргөгч. хямд үнэ
тохирч зарж болно

нийт үлдэх тохижилт зах зээлийн
ханш нь 50 орчим сая төгрөг бөгөөд
адил төст байрнуудас м2 тус бүрээс 500к
хямд авах боломж байна.

шинээс ялгаагүй цэвэрхэн, шууд амьдархад бэлэн.

мөн 2 машин тавих боломжтой. 2 талдаа маш том зайтай бууж суухад тээргүй граш зарж болно.",https://www.unegui.mn/adv/8076402_mandala-garden-84-5m2/,Паркет,1 тагттай,2023,Байгаа,Вакум,16,Бүргэд,84.5 м²,14,Лизинггүй,4,Ашиглалтад орсон,2.0,15.0,Яармаг,,,,,,Хан-Уул,Яармаг,,4.2,84.5,0.049704142011834325
18,18,22,Зайсанд 5өрөө байр 168.6м2,"488.94 сая ₮
үнэ тохирно",2024-03-08,08:26,8103063,,5+ өрөө,"УБ — Хан-Уул, Зайсан","
📍ХУД, Зайсан, ОРЧЛОН ТАУНХАУС нам гүм, цэвэр агаартай орчинд 5 өрөө маш гоё орон сууц худалдана📍

➡️168,6м2 талбайтай
➡️4/4 давхарт
➡️Урагш, хойш ба баруун 3 тал руугаа харсан 6 цонх, 2 балконтой
➡️Мастер унтлагын өрөөтэй
➡️Өндөр таазтай, цэлгэр том өрөөнүүдтэй
➡️Орцондоо 7 айл, давхартаа ганцхан айлтай
➡️Төвийн шугаманд бүрэн холбогдсон
➡️Тусдаа хашаатай
➡️Урагшаа Богд уул, Туул голтойгоо ойрхон, Мишээл цэцэрлэгт хүрээлэнгийн зам руу шууд гарч болдог
💰Үнэ: м2 нь 2,9 сая
💰Нийт үнэ: 488.940.000₮
➡️Бартерт: Нарны хорооллын намханд том 2 өрөө эсвэл 3 өрөө оролцуулж зөрүү тохирч болно
➡️28,8м2 хэмжээтэй 2 дулаан зогсоолтой, үнэ: 60 сая

🎁Гал тогооны тавилга, үүдний шкафнууд (kitchen all-ынх), абажурнууд гм зүйлс үлдэнэ
♥️Нэр хүндтэй, сайн хөршүүдтэй, тусдаа хашаатай тул аюулгүй, нам гүм орчинтой


#зайсан
#5өрөө
#мишээлцэцэрлэгтхүрээлэн",https://www.unegui.mn/adv/8103063_zaisand-5oroo-tom-bair/,Паркет,2 тагттай,2019,Байгаа,Вакум,4,Төмөр,168.6 м²,4,Лизинггүй,6,Ашиглалтад орсон,4.0,23.0,Зайсан,,,,,,Хан-Уул,Зайсан,,488.94,168.6,2.9
19,19,21,Модны 2дунд зам 2 өрөө 79.54м2 байр,256 сая ₮,2024-03-08,14:43,8104032,,2 өрөө,"УБ — Баянгол, Баянгол, Хороо 17","
Модны 2 дунд замд 2өрөө байр зарна. Урагшаа харсан цонхтой 79.54м2 , м2 нь 3.2сая. Сэлүүхэн нар харсан сайхан байр зарна.",https://www.unegui.mn/adv/8104032_modny-2dund-zam-grandkhill-zochid-buudlyn-baruun-urd-tselger-2-oroo-bair-zarna/,Паркет,Тагтгүй,2021,Байхгүй,Вакум,16,Бүргэд,79.54 м²,4,Банкны лизингтэй,3,Ашиглалтад орсон,4.0,22.0,Модны 2,,,,,,Баянгол,Хороо 17,17,256.0,79.54,3.2185064118682423
20,20,20,Актив гарден хотхонд 4 өрөө 92.82м2 байр,"3.7 сая ₮
4 сая ₮",2024-03-08,14:49,8095633,,4 өрөө,"УБ — Хан-Уул, Нисэх","
Гэрчилгээ бэлэн шинэ 4өрөө байраа хямд зарна. Бартераар машин оролцуулж болно.",https://www.unegui.mn/adv/8095633_aktiv-garden-khotkhond-shine-bair-khiamd-zarna-gerchilgee-belen-zeeleer-avakh-bolomzhtoi/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,92.82 м²,10,Лизинггүй,4,Ашиглалтад орсон,4.0,21.0,Нисэх,,,,,,Хан-Уул,Нисэх,,3.7,92.82,0.0398620986856281
21,21,19,Худ 15р хороо бүти таун 5 өрөө 185м2,"5.3 сая ₮
үнэ тохирно",2024-03-08,19:34,7787795,,5+ өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15","
HUD 15r horoo Home plaza tuw Orchlon surguulin ard 100% buren tsutgamal Buti town hothond 185m2 5n uruu bair hudaldana. Interior zasal bolon tsahilgaan baraa tawisan bugd uldene. Ta zuragt huwtsasaa awchirhad l bolno. Uragshaa Zuun Baruun harsan ugluunuus oroi hurtel nar uzne mash goy haragdah orchintoi. Doroo 2 mashinii zogsool bolon aguulahtai
Dawharta 4m2 asuulah beleglene",https://www.unegui.mn/adv/7787795_khud-15r-khoroo-buti-taun-buti-town/,Паркет,1 тагттай,2022,Байгаа,Вакум,17,Бүргэд,185.0 м²,16,Банкны лизингтэй,8,Ашиглалтад орсон,4.0,20.0,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,5.3,185.0,0.028648648648648647
22,22,18,Нарны хороололын урд 106мкв 3 өрөө,"3.8 сая ₮
үнэ тохирно",2024-03-09,08:37,8044578,,3 өрөө,"УБ — Баянгол, Нарны хороолол","
Нарны хороололын урд 23 давхар бүрэн цутгамал байрны 13 давхарт өрөөний зохион байгуулалт сайтай, урагшаа буюу богд уул руугаа харсан, харууц гоё хотын төвдөө байршил сайтай мастер өрөө, хувцасны өрөөнүүдтэй 3 өрөө байр зарна. 2024 оны 3 улиралд орно одоо гадна пасад хийгдэж байгаа . Бартерт 9911, 8811 болон машин оролцуулж болно.",https://www.unegui.mn/adv/8044578_narny-khoroololyn-urd-3-r-ulirald-orokh-106mkv-3-oroo/,Паркет,1 тагттай,2024,Байхгүй,Вакум,23,Бүргэд,106.52 м²,13,Лизинггүй,4,Ашиглалтад ороогүй,4.0,19.0,Нарны хороолол,,,,,,Баянгол,Нарны хороолол,,3.8,106.52,0.03567405182125422
23,23,17,Royal green villa-д 6 өрөө 318 мкв байр,"3.8 сая ₮
4.3 сая ₮ үнэ тохирно",2024-03-09,09:41,8104899,,5+ өрөө,"УБ — Хан-Уул, Зайсан","
Гаднаа хүүхдийн тоглоомын талбай сайтай, салхилах талбай сайтай, 24/7 харуул хамгаалалт камержуулалтай, авто зогсоол сайтай мөн автомашины дулаан зогсоолтой Royal Green Villa-д байр зарна
-Давхартаа нэг айлтай
-4 давхарт байрладаг
-Дулаан хамгамж 🥵 сайтай
-Хоёр автомашины 🚗 зогсоолтой
-Урагшаа болон хойш харсан нийт 9 цонхтой 🪟☀️харагдац сайтай.
- Нийт 6 өрөө бөгөөд 318 мкв талбай
-Гурван тагттай
-үнэ тохирно мөн төлбөрийн нөхцөлд бартер сонирхоно.
Нийт үнэ: 1’208’400’000₮",https://www.unegui.mn/adv/8104899_royal-green-villa-d-6-oroo-318-mkv-bair-zarna/,Паркет,3+ тагттай,2010,Байгаа,Вакум,6,Төмөр,318.0 м²,4,Банкны лизингтэй,8,Ашиглалтад орсон,4.0,18.0,Зайсан,,,,,,Хан-Уул,Зайсан,,3.8,318.0,0.011949685534591194
24,24,16,Хүннү-2222 1-ээлж 2 өрөө 55.04м2,330.24 сая ₮,2024-03-09,14:40,8072978,,2 өрөө,"УБ — Хан-Уул, Хүннү","
Хан уул дүүрэг 18 хороо хүннү 2222 хотхон 1 ээлж 2 өрөө байр зарна

* Маш сайн чанартай тавилгатай
* Машин ордоггүй, хүүхдийн тоглоомын талбай сайтай
* Ногоон байгууламж ихтэй
* 24 цагийн харуул хамгаалалт
* Канад сургууль Хобби сургуулийн хажууд
* Дулаахан, цэвэрхэн, нарны гэрэл сайн тусдаг
* Зүүн харсан 2 цонх, хойш харсан 2 цонхтой
* Бүх юманд ойр байрлал сайтай

Нийт үнэ: 330,240,000
м2 6 сая",https://www.unegui.mn/adv/8072978_khunnu2222-hunnu-2222-khunnu-2222-hunnu2222-1-eelzh-2-oroo-55-04m2/,Паркет,1 тагттай,2020,Байхгүй,Модон вакум,19,Бүргэд,55.04 м²,16,Банкны лизингтэй,4,Ашиглалтад орсон,4.0,17.0,Хүннү,,,,,,Хан-Уул,Хүннү,,330.24,55.04,6.0
25,25,15,3 өрөө тавилгатай байр,"267 сая ₮
үнэ тохирно",2024-03-09,17:47,8106514,,3 өрөө,"УБ — Хан-Уул, Мишээл","
Тав тухтай тохилог 3 өрөө байр зарна, цаашдаа үйлчилгээ явуулах боломжтой.",https://www.unegui.mn/adv/8106514_tavilgatai-bair-zarna/,Паркет,1 тагттай,2013,Байхгүй,Вакум,9,Төмөр,80.0 м²,1,Банкны лизингтэй,5,Ашиглалтад орсон,4.0,16.0,Мишээл,,,,,,Хан-Уул,Мишээл,,267.0,80.0,3.3375
26,26,14,Zaisan golden budhha 2 uruu 77.6м2,"435 сая ₮
үнэ тохирно",2024-03-10,00:38,8107300,,2 өрөө,"УБ — Хан-Уул, Зайсан","
Zaisan golden budhha 77.mk2 2-өрөө байр худалдана. Үүдэнд болон унтлагын өрөөндөө 2-хувцасны өрөөтэй. Сүүлийн үеийн тансаг тохижилттой.

Гал тогоо болон хувцасны шкаб нийт 20.саяар хийлгэсэн авсан хүндээ үнэгүй дагалдан очно.",https://www.unegui.mn/adv/8107300_zaisan-golden-budhha-2-uruu/,Мод,Тагтгүй,2020,Байхгүй,Вакум,15,Бүргэд,77.6 м²,8,Банкны лизингтэй,2,Ашиглалтад орсон,4.0,15.0,Зайсан,,,,,,Хан-Уул,Зайсан,,435.0,77.6,5.605670103092784
27,27,13,Худ 4 өрөө,"370 сая ₮
үнэ тохирно",2024-03-10,08:12,8083011,,4 өрөө,"УБ — Хан-Уул, Яармаг","
ХУД Хүннү моллын замын урд талд
""Арцат апартмент"" 1 хотхонд давхартаа 2 айл байдаг 103мк 4өрөө байрыг хямд зарна
• Зүүн баруун урагшаа тойрсон 6цонхтой
• Хүүхдийн аюулгүй байдал хангасан машин ордоггүй талбайтай
• Уулруугаа хэд алхаад гарна
• Сагс теннисний талбайтай
• Утаагүй цэвэр агаартай
• Цөөхөн айлтай
Үнэ : 3.600.000(мк2) бага хувьд бартер оролцуулж болно",https://www.unegui.mn/adv/8083011_khud-4-oroo/,Паркет,1 тагттай,2019,Байхгүй,Вакум,10,Бүргэд,103.0 м²,1,Лизинггүй,6,Ашиглалтад орсон,2.0,14.0,Яармаг,,,,,,Хан-Уул,Яармаг,,370.0,103.0,3.592233009708738
28,28,13,Сансар Nisora Tower 4 өрөө,"315 сая ₮
350 сая ₮ үнэ тохирно",2024-03-10,10:34,8107592,,4 өрөө,"УБ — Баянзүрх, Сансар","
📍Сансар Emart ""Nisora Tower"" 105м2 4 өрөө орон сууц худалдана
Үнэ:3сая (м2 үнэ)
•17/16 давхар
•2 ариун цэврийн өрөө
•урагш ба баруун харууцтай
•Гэрчилгээ бэлэн",https://www.unegui.mn/adv/8107592_sansar-4-oroo/,Паркет,1 тагттай,2008,Байхгүй,Вакум,17,Бүргэд,105.0 м²,16,Банкны лизингтэй,5,Ашиглалтад орсон,4.0,14.0,Сансар,,,,,,Баянзүрх,Сансар,,315.0,105.0,3.0
