N,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,Код:,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
1067,"Хотын төвд, засгийн газрын ордоны хойно 160 м.кв 5 өрөө дуплекс байр","900 сая ₮
үнэ тохирно",3/14/2024,22:39,8123904,,5+ өрөө,"УБ — Сүхбаатар, Сүхбаатар, Хороо 6","
📍Байршил: СБД, 6-р хороо, Засгийн газрын ордоны чанх хойно.

5,6 давхарт | 5 өрөө | 160 м.кв
💵 Нийт үнэ: 900,000,000 ₮
Төлбөрийн нөхцөл:
💵 Бэлэн төлөлт;
💵 Банкны зээлээр худалдан авах боломжтой;
✅Хотын төвийн А зэрэглэлийн байршилд;
✅1ш дулаан зогсоол дагалдана;
✅Цонхны байрлал: Урагшаа, Баруун, хойшоо харсан;
✅1-р давхарт: Зочны өрөө, гал тогоо, 1 унтлагын өрөө, зочны ариун цэврийн өрөө, үүдний хэсэг;
✅2-р давхарт: 3 унтлагын өрөө, АЦӨрөө;",https://www.unegui.mn/adv/8123904_khotyn-tovd-zasgiin-gazryn-ordony-khoino-160-m-kv-5-oroo-dupleks-bair-khudaldana/,Паркет,2 тагттай,2014,Байгаа,Вакум,6,Бүргэд,160.0 м²,5,Банкны лизингтэй,8,Ашиглалтад орсон,4,12,,МУИС,,,,,,Сүхбаатар,Хороо 6,6,900,160,5.625
1066,115 р сургуулийн урд 2 өрөө байр,160 сая ₮,3/14/2024,22:30,8012773,,2 өрөө,"УБ — Хан-Уул, Зайсан","
115 р сургуулийн урд цэвэр агаарт нам гүм орчинд 2 өрөө байр худалдана.",https://www.unegui.mn/adv/8012773_115-r-surguuliin-urd-2-oroo-bair-khudaldana/,Паркет,1 тагттай,2014,Байхгүй,Вакум,6,Вакум,54.0 м²,2,Лизинггүй,3,Ашиглалтад орсон,4,13,,Зайсан,,,,,,Хан-Уул,Зайсан,,160,54,2.962962963
1065,Циркд 3 өрөө 70мкв байр,"275 сая ₮
үнэ тохирно",3/14/2024,22:29,7857288,,3 өрөө,"УБ — Сүхбаатар, 220 мянгат","
Циркийн баруун талд, Орос 3-ийн урд угсармалын 1 давхрын гал тогоо тусдаа 3 өрөө байр зарна. Хуучнаар 44 м2. Урагшаа 2 хойшоо 2 харсан цонхтой. Сургууль, цэцэрлэг бүх юмтайгаа ойрхон. Яг авах хүнтэй сайхан ярилцаад өгнө.",https://www.unegui.mn/adv/7857288_tsirkd-3-oroo-bair/,Паркет,Тагтгүй,1985,Байхгүй,Вакум,5,Бүргэд,70.0 м²,1,Лизинггүй,4,Ашиглалтад орсон,4,14,,220 мянгат,,,,,,Сүхбаатар,220 мянгат,,275,70,3.928571429
1063,Яармаг вива сити хотхонд 49мкв 2өрөө байр,"130 сая ₮
үнэ тохирно",3/14/2024,22:19,8056264,,2 өрөө,"УБ — Хан-Уул, Viva city","
Яармагийн вива сити хотхонд 49м2 2өрөө байр зарна",https://www.unegui.mn/adv/8056264_iaarmag-viva-siti-khotkhond/,Паркет,Тагтгүй,2012,Байхгүй,Вакум,5,Бүргэд,49.0 м²,2,Банкны лизингтэй,2,Ашиглалтад орсон,4,15,,Яармаг,,,,,,Хан-Уул,Viva city,,130,49,2.653061224
1064,1р хороололд 27 байранд 4 өрөө байр,"190 сая ₮
үнэ тохирно",3/14/2024,22:19,8123857,,4 өрөө,"УБ — Сонгинохайрхан, 1-р хороолол","
27 байранд 4 өрөө байр зарна",https://www.unegui.mn/adv/8123857_27-bairand-4-oroo-bair-zarna/,Ламинат,1 тагттай,1989,Байхгүй,Вакум,9,Төмөр вакум,8.0 м²,5,Банкны лизингтэй,5,Ашиглалтад орсон,4,16,,1-р хороолол,,,,,,Сонгинохайрхан,1-р хороолол,,190,8,23.75
1062,3 4 horoolol 3uruu bair,150 сая ₮,3/14/2024,22:17,8123838,,3 өрөө,"УБ — Баянгол, 3, 4 хороолол","
Ipotekiin zeeleer gargana
Uridchilgaa 28-58say
Mashin oroltsuulj bolno",https://www.unegui.mn/adv/8123838_3uruu-bair-zarna/,Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,52.8 м²,3,Банкны лизингтэй,3,Ашиглалтад орсон,4,17,,"3, 4 хороолол",,,,,,Баянгол,"3, 4 хороолол",,150,52.8,2.840909091
1061,Хурд рапид хороолол 4 өрөө,"450 сая ₮
үнэ тохирно",3/14/2024,22:04,8123793,,4 өрөө,"УБ — Хан-Уул, Хурд","
Хурд рапит хороолол",https://www.unegui.mn/adv/8123793_zarna/,Паркет,1 тагттай,2012,Байхгүй,Вакум,12,Бүргэд,125.0 м²,6,Лизинггүй,6,Ашиглалтад орсон,4,18,,Цэнгэлдэх,,,,,,Хан-Уул,Хурд,,450,125,3.6
1060,Нутгийн буян-happy residence 3 өрөө,327.38 сая ₮,3/14/2024,21:56,8123784,,3 өрөө,"УБ — Хан-Уул, Яармаг","
Нутгийн буян-Happy Residence’ хотхонд 3 өрөө байр
☘️Утаагүй өндөрлөг бүс☘️
- 79.85мкв
- 12/2 давхарт /гэрчилгээ бэлэн/
-бүх цонх урагшаа харсан
✨ Мастер унтлагын өрөө
✨ Маш гоё зохион байгуулалттай
✨ Домофон систем, ухаалаг цоожтой
✨ Байгаль болон хотоо харсан харууц
✨ Тоглоомын талбай нийтийн эзэмшлийн газар 80%-аас бүрдсэн
✏️Сургууль цэцэрлэг, үйлчилгээний төвтэй
📍Яармаг,",https://www.unegui.mn/adv/8123784_nutgiin-buian-happy-residence/,Паркет,1 тагттай,2023,Байгаа,Вакум,13,Мод,79.85 м²,2,Лизинггүй,4,Ашиглалтад орсон,4,19,,Яармаг,,,,,,Хан-Уул,Яармаг,,327.38,79.85,4.099937383
1057,Яармагт сedar city residence хотхонд 4 өрөө 148м2 орон сууц,488 сая ₮,3/14/2024,21:55,7992914,,5+ өрөө,"УБ — Хан-Уул, Яармаг","
#ХУД Яармагт Cedar city residence хотхонд 5 өрөө орон сууц худалдана.
✅ 148 мкв 4 өрөө
✅ 16/8 давхарт
✅ Урагшаа болон зүүн, хойшоо харсан харууцтай
✅ Нүүж ороход бэлэн
✅ Гэрчилгээ бэлэн банкны зээлд хамрагдах боломжтой
✅ Өрөөний маш гоё зохион байгуулалттай
✅ Бэлэн төлөлтөнд үнэ сайн ярилцана

Үнэ: 488 сая₮ (Бартер сонсоно)",https://www.unegui.mn/adv/7992914_iaarmagt-cedar-city-residence-khotkhond-5-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2022,Байхгүй,Вакум,16,Бүргэд,148.0 м²,8,Лизинггүй,5,Ашиглалтад орсон,,,,Яармаг,,,,,,Хан-Уул,Яармаг,,488,148,3.297297297
1058,"Яармаг, арцат лакшири хотхонд 2 өрөө орон сууц",150 сая ₮,3/14/2024,21:55,8063437,,2 өрөө,"УБ — Хан-Уул, Яармаг",,https://www.unegui.mn/adv/8063437_iaarmag-artsat-lakshiri-khotkhond-2-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2022,Байхгүй,Вакум,14,Бүргэд,50.97 м²,7,Лизинггүй,2,Ашиглалтад орсон,4,20,,Яармаг,,,,,,Хан-Уул,Яармаг,,150,50.97,2.942907593
1059,New garden хотхонд 2 өрөө,243 сая ₮,3/14/2024,21:55,7910953,,2 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15","
#ХУД New garden хотхонд 2 өрөө орон сууц худалдана
✅ 76,4 мкв 2 өрөө
✅ 12/1 давхарт
✅ Урагшаа харсан цонхтой
✅ Гэрчилгээ бэлэн

Үнэ: 243 сая₮",https://www.unegui.mn/adv/7910953_new-garden-khotkhond-2-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2019,Байхгүй,Вакум,12,Бүргэд,76.4 м²,1,Лизинггүй,2,Ашиглалтад орсон,4,21,,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,243,76.4,3.180628272
1054,Дөлгөөннуур жаргалтай хотхонд 2 өрөө,185.92 сая ₮,3/14/2024,21:54,8048728,,2 өрөө,УБ — Сүхбаатар,"
#СБД Дөлгөөннуур Жаргалтай хотхонд шинэ 2 өрөө орон сууц худалдана
✅ 53,12 мкв | 2 өрөө
✅ 13 давхарт | Баруун харсан харууцтай
✅ Шинэ айл амьдраагүй | Гэрчилгээ бэлэн

Үнэ: Мкв нь 3,5 сая₮",https://www.unegui.mn/adv/8048728_dolgoonnuur-zhargaltai-khotkhond-shine-2-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2023,Байхгүй,Вакум,14,Бүргэд,53.12 м²,13,Лизинггүй,2,Ашиглалтад орсон,5,1,,,,,,,,Сүхбаатар,,,185.92,53.12,3.5
1055,Шинэ яармаг хороололд 4 өрөө орон сууц 121м2,3.8 сая ₮,3/14/2024,21:54,7438698,,4 өрөө,"УБ — Хан-Уул, Яармаг",,https://www.unegui.mn/adv/7438698_shine-iaarmag-khoroolold-4-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2021,Байгаа,Вакум,10,Бүргэд,121.0 м²,2,Лизинггүй,4,Ашиглалтад орсон,5,2,,Яармаг,,,,,,Хан-Уул,Яармаг,,3.8,121,0.031404959
1056,Эмиралд хотхон 4 өрөө орон сууц 112м2,470 сая ₮,3/14/2024,21:54,7799843,,4 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26",,https://www.unegui.mn/adv/7799843_emirald-khotkhon-4-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,112.0 м²,9,Лизинггүй,4,Ашиглалтад орсон,5,3,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,470,112,4.196428571
1049,Chariot residence 205мкв 4 өрөө орон сууц,"1.2 Тэрбум ₮
1.3 Тэрбум ₮",3/14/2024,21:48,7725723,,4 өрөө,"УБ — Хан-Уул, Зайсан","
Chariot Residence 205 мкв 4 өрөө худалдана.

3 унтлагын өрөөтэй, 3 ариун цэврийн өрөөтэй, галтогоо хувцасны өрөөний шкаф орсон. 2 гражтай тусдаа үнэтэй.",https://www.unegui.mn/adv/7725723_chariot-residence-4-oroo-oron-suuts-khudaldana/,Мод,1 тагттай,2020,Байгаа,Вакум,6,Төмөр вакум,205.0 м²,1,Банкны лизингтэй,5,Ашиглалтад орсон,5,4,,Зайсан,,,,,,Хан-Уул,Зайсан,,1200,205,5.853658537
1050,Сансар гарден 3 өрөө,5.65 сая ₮,3/14/2024,21:48,8121606,,3 өрөө,"УБ — Баянзүрх, Сансар","
🌱 Хурд Групп барьсан “Сансан Гарден” хотхонд 79.98 мкв 3 өрөө 102 блок 22/15 давхарт зүүн урагшаа харагдацтай орон сууц худалдана.

🌱Нийт үнэ- 451.8 сая 1 мкв 5.650.000

🌱 Нэмэлт мэдээлэл:
Мастертай, гэрчилгээн бэлэн, шууд нүүж орно. Үзүүлэхэд цаг тохирно.

Банкны 35% төлөөд 65% зээл авах тооцооллыг хавсралтаар оруулав👇",https://www.unegui.mn/adv/8121606_sansar-garden-3-oroo-khudaldana/,Паркет,1 тагттай,2024,Байхгүй,Вакум,22,Төмөр вакум,79.98 м²,15,Банкны лизингтэй,4,Ашиглалтад орсон,5,5,,Сансар,,,,,,Баянзүрх,Сансар,,5.65,79.98,0.070642661
1051,Ханхилсс хотхонд 4 өрөө байр 140.7m2,5.1 сая ₮,3/14/2024,21:48,8119773,,4 өрөө,"УБ — Хан-Уул, Хансвилл хотхон","
Khan Hills хотхонд 140.7 мкв 4 өрөө худалдана.

Нийт үнэ 717.5 сая 1 мкв 5.1 сая

Галтогоо үүдний шкаф буюу байрандаа суурилагдсан тавилгууд үлдэнэ.

3 унтлагын өрөөтэй, 2 ариун цэврийн өрөөтэй, үүдний коридор сайтай. Давхартаа 4 айлтай. 1 граж байгаа 40.0 сая.

Гэрчилгээ бэлэн банкны зээлээр авч болно.",https://www.unegui.mn/adv/8119773_khankhilss-khotkhond-4-oroo-khudaldana/,Паркет,1 тагттай,2018,Байгаа,Төмөр вакум,12,Төмөр вакум,140.7 м²,5,Банкны лизингтэй,5,Ашиглалтад орсон,5,6,,Корпорейт,,,,,,Хан-Уул,Хансвилл хотхон,,5.1,140.7,0.036247335
1052,Будда виста-д 4 өрөө,"800 сая ₮
850 сая ₮",3/14/2024,21:48,7765994,,4 өрөө,"УБ — Хан-Уул, Зайсан","
3 унтлагын өрөөтэй 2 ариун цэвэртэй, баруун зүүн харууцтай, 1 гражтай B2 дээр. Граж тусдаа 50.0 сая 1 л гражтай.

Банкны энгийн зээлд оруулж өгнө. Урьдчилгаа 20% төлөөд 20-н жил байж болно.
Шаардлагаа хангасан байвал.
Материалыг нь бэлдэлцэнэ.

Урьдчилгаанд жижиг орон сууц барьцаалаад 100% зээл бас байж болно.",https://www.unegui.mn/adv/7765994_budda-vista-d-4-oroo-khudaldana/,Мод,1 тагттай,2014,Байгаа,Вакум,19,Төмөр,122.0 м²,4,Банкны лизингтэй,5,Ашиглалтад орсон,5,7,,Зайсан,,,,,,Хан-Уул,Зайсан,,800,122,6.557377049
1053,Seven star residence 4 өрөө,4.6 сая ₮,3/14/2024,21:48,8089656,,4 өрөө,"УБ — Хан-Уул, Зайсан","
🔥 Seven Star Residence 🔥

106.1 мкв 4 өрөө 9 давхарт 6-р блок орон сууц худалдана.

🔥 Нийт үнэ: 488.0 сая 1мкв: 4.6 сая

Бэлэн шууд нүүж орох 3 унтлагын өрөөтэй 2 ариун цэврийн өрөөтэй, 2 ванн,1 душтай, 1 балконтой, урагшаа болон баруун харсан цонхнуудтай. Давхартаа 4 айлтай. Граж байхгүй.

Бартерт 2018 оноос хойшхи 200,570 оролцуулж болно. Бартертай бол үнэ 4.8 сая болж өөрчлөгдөнө.

Видео коммент хэсэгт оруулав 👇",https://www.unegui.mn/adv/8089656_seven-star-residence-4-oroo-khudaldana/,Паркет,1 тагттай,2024,Байхгүй,Төмөр вакум,20,Төмөр вакум,106.1 м²,9,Банкны лизингтэй,4,Ашиглалтад орсон,5,8,,Зайсан,,,,,,Хан-Уул,Зайсан,,4.6,106.1,0.043355325
1048,Будда виста 4 өрөө орон сууц,800 сая ₮,3/14/2024,21:47,8074609,,4 өрөө,"УБ — Хан-Уул, Зайсан","
🔥 Buddha Vista 🔥

Үнэ: 800.0 сая

1 граж 50.0 сая

122 мкв 4 өрөө 2 🛁 өрөөтэй 10 давхарт
Баруун зүүн харагдацтай. Хоосон байр үзэхэд цаг тохирно.

Банкны энгийн зээлээр авахад 50% төлөхөд сард 5.7 сая төлнө. Зээлд зөвлөмж өгнө🤞",https://www.unegui.mn/adv/8074609_budda-vista-4-oroo-oron-suuts-khudaldana/,Мод,1 тагттай,2014,Байгаа,Вакум,19,Мод,122.0 м²,10,Банкны лизингтэй,5,Ашиглалтад орсон,5,9,,Зайсан,,,,,,Хан-Уул,Зайсан,,800,122,6.557377049
1047,Оргил стар хотхонд 3 өрөө байр,444 сая ₮,3/14/2024,21:45,8002125,,3 өрөө,"УБ — Хан-Уул, Зайсан","
-Өвөлдөө маш дулаахан,
- сургууль цэцэрлэг автобусны буудалд ойрхон
- орчин сайтай, өрөөний зохион байгуулалт сайн",https://www.unegui.mn/adv/8002125_orgil-star-khotkhond-3-oroo-bair-zarna/,Паркет,1 тагттай,2013,Байхгүй,Модон вакум,10,Төмөр вакум,119.7 м²,7,Лизинггүй,6,Ашиглалтад орсон,1,1,,Зайсан,,,,,,Хан-Уул,Зайсан,,444,119.7,3.709273183
1046,Схд москва хороолол урд 52мкв 2 өрөө,"130 сая ₮
үнэ тохирно",3/14/2024,21:42,8123761,,2 өрөө,"УБ — Сонгинохайрхан, Москва хороолол","
москва хорооллын урд 1 орцтой тохилог, худалдаа үйлчилгээ сургууль цэцэрлэг автобус буудалтай ойрхон 2 өрөө 52 мкв байр зарна.",https://www.unegui.mn/adv/8123761_skhd-moskva-khoroolol-urd-52mkv-2-oroo/,Паркет,1 тагттай,2013,Байхгүй,Вакум,12,Төмөр,52.0 м²,9,Банкны лизингтэй,2,Ашиглалтад орсон,5,10,,Москва,,,,,,Сонгинохайрхан,Москва хороолол,,130,52,2.5
1044,"3,4р horoolold odod hothon 2 uruu bair 55.06m2","303 сая ₮
үнэ тохирно",3/14/2024,21:37,8123750,,2 өрөө,"УБ — Баянгол, 3, 4 хороолол","
Horoolold 2 uruu bair hudlaa a hajuudaa surguuli tsetserlegtei mash oir shine bair tul suh gadna tohijilt saitai niit 24 dawhariin 20 n dawhart",https://www.unegui.mn/adv/8123750_horoolold-odod-hothon-2-uruu-bair-hudaldana/,Паркет,1 тагттай,2018,Байхгүй,Вакум,20,Төмөр,55.06 м²,20,Лизинггүй,3,Ашиглалтад орсон,5,11,,"3, 4 хороолол",,,,,,Баянгол,"3, 4 хороолол",,303,55.06,5.503087541
